"","lneconaid","l.physint","l.polity2","l.lneconaid","l.lnrgdp","l.lnpop","colony","recep","donor"
"331",2.3932569026947,2,-3,5.3076057434082,8.09208679199219,8.43939590454102,0,"Kyrgyz Republic","Austria"
"332",0,3,-7,0,7.15205717086792,8.587082862854,0,"Laos","Austria"
"333",0,1,8,0,9.0384578704834,7.7937970161438,0,"Latvia","Austria"
"335",0,0,2,0,7.50873804092407,7.51725435256958,0,"Lesotho","Austria"
"336",2.38586854934692,7,0,1.75616073608398,6.01332378387451,7.99774360656738,0,"Liberia","Austria"
"337",0,5,-7,0,9.24327659606934,8.51587390899658,0,"Libya","Austria"
"339",1.11010706424713,1,10,0,9.06805038452148,8.19734573364258,0,"Lithuania","Austria"
"341",3.08788537979126,2,6,5.84018707275391,8.53861236572266,7.61700201034546,0,"Macedonia (Former Yugoslav Republic of)","Austria"
"342",0.359009236097336,1,7,5.9417519569397,6.69820642471313,9.61880207061768,0,"Madagascar (Malagasy)","Austria"
"343",0,3,6,0,6.72395277023315,9.26987361907959,0,"Malawi","Austria"
"344",0,3,3,0,9.29201507568359,9.96901607513428,0,"Malaysia","Austria"
"346",0.738429963588715,1,6,0,7.02048540115356,9.2457447052002,0,"Mali","Austria"
"349",7.0756139755249,3,-6,0,7.30419969558716,7.85961389541626,0,"Mauritania","Austria"
"350",0,3,10,2.03100490570068,9.55147266387939,7.06418609619141,0,"Mauritius","Austria"
"351",0,5,6,0.0755787044763565,8.94907665252686,11.4990978240967,0,"Mexico","Austria"
"354",2.18499231338501,2,7,0,7.68573045730591,8.39661502838135,0,"Moldova","Austria"
"356",5.44918775558472,1,10,0,7.31687355041504,7.84994745254517,0,"Mongolia","Austria"
"358",0,4,-6,0,8.22915363311768,10.2954216003418,0,"Morocco","Austria"
"359",4.20461511611938,5,6,6.50093841552734,6.95509672164917,9.75990200042725,0,"Mozambique","Austria"
"360",0,7,-7,0,6.77587985992432,10.6166820526123,0,"Myanmar (Burma)","Austria"
"363",5.22646760940552,5,6,6.24272489547729,8.50034236907959,7.4884672164917,0,"Namibia","Austria"
"365",3.52169942855835,6,6,3.87712025642395,7.23100471496582,10.0911026000977,0,"Nepal","Austria"
"366",0,0,10,0,10.146728515625,9.6685848236084,0,"Netherlands","Austria"
"368",0,0,10,0,9.91214942932129,8.23863220214844,0,"New Zealand","Austria"
"369",6.23817443847656,3,8,9.02322006225586,8.08697605133057,8.45660018920898,0,"Nicaragua","Austria"
"370",0.567379117012024,2,5,0,6.78414011001587,9.19911956787109,0,"Niger","Austria"
"371",2.03120446205139,6,4,1.12529957294464,6.96198749542236,11.6985511779785,0,"Nigeria","Austria"
"374",0,0,10,0,10.3845338821411,8.406174659729,0,"Norway","Austria"
"376",0,1,-9,0,9.67177772521973,7.80273246765137,0,"Oman","Austria"
"377",1.47598326206207,6,-6,2.15378594398499,7.81822109222412,11.8385972976685,0,"Pakistan","Austria"
"380",0,2,9,0,8.96486854553223,7.9344277381897,0,"Panama","Austria"
"381",0,3,10,0,8.47391986846924,8.47767639160156,0,"Papua New Guinea","Austria"
"382",0,3,7,0,8.52894592285156,8.60147190093994,0,"Paraguay","Austria"
"383",0,6,1,0.666989207267761,8.33137702941895,10.1862163543701,0,"Peru","Austria"
"384",0.11865907907486,6,8,6.90062522888184,8.14855575561523,11.2661800384521,0,"Philippines","Austria"
"385",0,0,9,0,9.02457237243652,10.5625534057617,0,"Poland","Austria"
"386",0,1,10,0,9.73076725006104,9.22786808013916,0,"Portugal","Austria"
"388",4.21141910552979,2,8,3.21971654891968,8.54644680023193,10.0204048156738,0,"Rumania","Austria"
"389",1.18218588829041,5,4,0.0927973613142967,9.05150604248047,11.8948879241943,0,"Russia (Soviet Union)","Austria"
"390",1.13088047504425,5,-6,6.62631034851074,6.88243770599365,8.8943452835083,0,"Rwanda","Austria"
"402",5.23470449447632,6,-1,4.37964010238647,7.30812740325928,9.16187858581543,0,"Senegal","Austria"
"405",0,2,-2,0,10.2215051651001,8.29609775543213,0,"Singapore","Austria"
"406",4.65462064743042,1,9,3.63619256019592,9.16377067565918,8.5936222076416,0,"Slovakia","Austria"
"407",7.04617977142334,0,10,0,9.77340126037598,7.5624213218689,0,"Slovenia","Austria"
"410",1.02382254600525,4,9,1.41509437561035,8.97656154632568,10.6465578079224,0,"South Africa","Austria"
"411",0,1,10,0,9.83849906921387,10.6073179244995,0,"Spain","Austria"
"412",1.89514446258545,6,5,0.751868844032288,8.26993846893311,9.8555908203125,0,"Sri Lanka (Ceylon)","Austria"
"413",1.51368629932404,8,-7,1.46876728534698,6.88830757141113,10.436619758606,0,"Sudan","Austria"
"415",0,2,-9,0,9.02512550354004,7.00432825088501,0,"Swaziland","Austria"
"416",0,0,10,0,10.0926370620728,9.08984851837158,0,"Sweden","Austria"
"417",0,0,10,0,10.2390060424805,8.87338924407959,0,"Switzerland","Austria"
"418",2.12645697593689,5,-9,1.36460471153259,7.59819889068604,9.67337703704834,0,"Syria","Austria"
"419",0.876674890518188,1,9,0,9.81204319000244,9.99850082397461,0,"Taiwan","Austria"
"420",0.79128509759903,6,-1,0,7.27940845489502,8.749680519104,0,"Tajikistan","Austria"
"421",5.59519672393799,4,-1,2.5786030292511,6.70842599868774,10.4018411636353,0,"Tanzania/Tanganyika","Austria"
"422",0.121239751577377,2,9,0.937903463840485,8.76137161254883,11.0297718048096,0,"Thailand","Austria"
"423",0.933611750602722,4,-2,0,6.76690578460693,8.49631690979004,0,"Togo","Austria"
"425",0,1,10,0,9.40146446228027,7.03079557418823,0,"Trinidad and Tobago","Austria"
"426",0,2,-3,0,8.82362842559814,9.15679264068604,0,"Tunisia","Austria"
"427",0.861321091651917,7,7,0.147668763995171,8.60515689849854,11.1146650314331,0,"Turkey/Ottoman Empire","Austria"
"428",0,3,-9,0,8.79034519195557,8.39704132080078,0,"Turkmenistan","Austria"
"431",4.49099969863892,5,-4,6.63076496124268,6.9390697479248,10.0369310379028,0,"Uganda","Austria"
"432",0.916906177997589,2,7,0,8.44607925415039,10.8110542297363,0,"Ukraine","Austria"
"433",0,0,-8,0,10.2787609100342,7.75401830673218,0,"United Arab Emirates","Austria"
"434",0,1,10,0,10.0774126052856,10.9762058258057,0,"United Kingdom","Austria"
"435",0,1,10,0,10.4176139831543,12.5470666885376,0,"United States of America","Austria"
"436",0,1,10,0,9.30693244934082,8.10431098937988,0,"Uruguay","Austria"
"437",0.38576802611351,5,-9,0,8.18271541595459,10.1008338928223,0,"Uzbekistan","Austria"
"439",0,4,7,0,8.88089275360107,10.0502767562866,0,"Venezuela","Austria"
"440",0.259928017854691,4,-7,2.45687699317932,7.65994453430176,11.2579956054688,0,"Vietnam, Democratic Republic of","Austria"
"443",0,5,-2,0,6.91997051239014,9.73533630371094,0,"Yemen (Arab Republic of Yemen)","Austria"
